case,method,page_size,concurrency,input_throughput_tok_s
page1_fp8off,SGLANG_AITER_FP8_PREFILL_ATTN=0,1,4,11915.924
page1_fp8off,SGLANG_AITER_FP8_PREFILL_ATTN=0,1,16,26302.664
page1_fp8off,SGLANG_AITER_FP8_PREFILL_ATTN=0,1,64,33561.275
page1_fp8off,SGLANG_AITER_FP8_PREFILL_ATTN=0,1,256,49788.725
page1_pr25556,PR25556,1,4,11723.105
page1_pr25556,PR25556,1,16,21611.909
page1_pr25556,PR25556,1,64,41653.105
page1_pr25556,PR25556,1,256,47166.402
page64_fp8off,SGLANG_AITER_FP8_PREFILL_ATTN=0,64,4,10180.491
page64_fp8off,SGLANG_AITER_FP8_PREFILL_ATTN=0,64,16,23266.185
page64_fp8off,SGLANG_AITER_FP8_PREFILL_ATTN=0,64,64,42667.590
page64_fp8off,SGLANG_AITER_FP8_PREFILL_ATTN=0,64,256,49506.750
page64_pr25556,PR25556,64,4,9999.195
page64_pr25556,PR25556,64,16,18779.265
page64_pr25556,PR25556,64,64,38869.292
page64_pr25556,PR25556,64,256,47796.750
