case,method,page_size,concurrency,mean_ttft_ms
page1_fp8off,SGLANG_AITER_FP8_PREFILL_ATTN=0,1,4,1360.370
page1_fp8off,SGLANG_AITER_FP8_PREFILL_ATTN=0,1,16,2396.011
page1_fp8off,SGLANG_AITER_FP8_PREFILL_ATTN=0,1,64,7168.177
page1_fp8off,SGLANG_AITER_FP8_PREFILL_ATTN=0,1,256,18207.746
page1_pr25556,PR25556,1,4,1383.104
page1_pr25556,PR25556,1,16,2944.852
page1_pr25556,PR25556,1,64,5597.221
page1_pr25556,PR25556,1,256,19251.844
page64_fp8off,SGLANG_AITER_FP8_PREFILL_ATTN=0,64,4,1593.703
page64_fp8off,SGLANG_AITER_FP8_PREFILL_ATTN=0,64,16,2711.736
page64_fp8off,SGLANG_AITER_FP8_PREFILL_ATTN=0,64,64,5530.354
page64_fp8off,SGLANG_AITER_FP8_PREFILL_ATTN=0,64,256,18365.163
page64_pr25556,PR25556,64,4,1623.319
page64_pr25556,PR25556,64,16,3398.577
page64_pr25556,PR25556,64,64,6064.597
page64_pr25556,PR25556,64,256,18983.720
